Epoch,Train Loss,Test Loss
1,0.32444937160568793,0.03168701998889446
2,0.08075991973287136,0.1615722186366717
3,0.050623801259641665,0.03865633693834146
4,0.030870828364841816,0.029556881139675775
5,0.024263962755995152,0.010792039756973584
6,0.024268410870973582,0.018085808431108793
7,0.020861228243494564,0.014824523963034153
8,0.018634451554004214,0.008380900205423435
9,0.02346400863547065,0.02394365585098664
10,0.019321263671999045,0.013969266191124916
11,0.023416754943053907,0.03673086586097876
12,0.019645148674867125,0.007601963890095552
13,0.013262814040105778,0.008743747314438223
14,0.014187666592982451,0.012984950312723715
15,0.016926125196559373,0.011681192461401224
16,0.01443731677165585,0.015565874787668387
17,0.012932124996968985,0.013848686292767524
18,0.012716163387428658,0.010182004695137341
19,0.014187868359034576,0.018877023110787074
20,0.013096743101724439,0.0063893752172589306
21,0.009712898673530182,0.01850084787855546
22,0.01551994523633097,0.0055200358821700015
23,0.011002637142623872,0.005577831792955597
24,0.01146181258193862,0.010934223433335622
25,0.009922314210978639,0.011162601727992296
26,0.013219425373751184,0.008382217896481355
27,0.011106477493582212,0.009062016333142917
28,0.016766094013170207,0.008941512508317827
29,0.012613716555516357,0.010050579172869523
30,0.010683869794291447,0.010440039969980717
31,0.00994276096203355,0.006454605894784133
32,0.009587593058149104,0.013351353593170643
33,0.010444141537757795,0.005480139969537655
34,0.009201667925271276,0.005666301771998406
35,0.008301023979450149,0.00463348366941015
36,0.008254222646604812,0.013672850554188093
37,0.009259457606900123,0.013832477976878484
38,0.008126228668549437,0.007679501138627529
39,0.007858470321732595,0.003324853765467803
40,0.008137037242874876,0.023991551486154398
41,0.007160943293909739,0.007287210201223691
42,0.006991117568546439,0.008277136255055667
43,0.00883337689048134,0.008455946855247021
44,0.009997071645745889,0.0041775812239696584
45,0.007495756476749993,0.004943931434924404
46,0.00656971356630587,0.0036757889358947676
47,0.006240058019072017,0.005521607308958967
48,0.006447787831123158,0.00788994907711943
49,0.007311302765948467,0.006725321651125948
50,0.009145317391265046,0.010139195056011279
51,0.009835139194964416,0.007924338247006139
52,0.008413804744457496,0.0044672586116939784
53,0.007820092590547549,0.004412392415106297
54,0.006928851303526116,0.005117607035984595
55,0.007202790575070824,0.005619838051497936
56,0.006697581317447076,0.003983669198739032
57,0.006239925935571658,0.0067225552505503095
58,0.005879324276847484,0.00433378011919558
59,0.007099585409079956,0.009398310361430049
60,0.008219046015946512,0.008013415553917488
61,0.006511339549844256,0.010271745584905147
62,0.005837465022039603,0.002894580909051001
63,0.006186309113653134,0.0033714860770851372
64,0.006364741603248942,0.01157262034714222
65,0.005085508943181859,0.004535603495314717
66,0.005106591599110364,0.00412821377782772
67,0.007275876426955616,0.013918432692686717
68,0.005697297980077565,0.0023555726294095317
69,0.005801448523359729,0.0046781824591259165
70,0.00516327115221192,0.022854595941801868
71,0.005567789663339539,0.005868750779579083
72,0.004599002765391932,0.002814056887291372
73,0.0041205311598206396,0.005461512856806318
74,0.00374392067108702,0.00474993367989858
75,0.003940442603480158,0.005747135697553555
76,0.004134176239600237,0.005379953646721939
77,0.003456771756284076,0.008749601040035486
78,0.004130949574035209,0.009372092212239901
79,0.0037637474630526375,0.004315290028850238
80,0.003937140907461515,0.005594799316798647
